地区,2016,2017,2018,2018urual,2018city,20162,20172,20182
北京,15.2,16.3,14.4,19.26,15.51,11.7 ,12.5 ,11.3 
天津,14.6,14.6,13.9,20.32,16.58,11.4 ,11.3 ,10.9 
河北,15.4,16.8,18.4,20.48,16.17,10.3 ,11.8 ,12.7 
山西,11.5,11.9,13.9,19.08,13.34,8.7 ,9.0 ,10.3 
内蒙古,12.1,14.3,12.8,17.46,14.17,9.4 ,10.8 ,9.9 
辽宁,17.4,18.6,20,23.14,19.99,13.2 ,14.1 ,15.0 
吉林,14.2,16.2,16.4,17.38,17.85,10.9 ,12.2 ,12.4 
黑龙江,15.3,15.6,15.8,16.3,18.28,11.9 ,12.1 ,12.2 
上海,16.8,18.8,19.9,23.76,20,13.0 ,14.3 ,15.0 
江苏,18.6,19.2,19.9,29.74,16.61,13.5 ,13.9 ,14.3 
浙江,15.4,16.6,17.7,28.08,12.97,11.6 ,12.5 ,13.0 
安徽,16.2,19.1,19.4,26.54,15.86,11.5 ,13.0 ,13.2 
福建,13.9,13.2,12.9,20.44,11.22,9.9 ,9.5 ,9.5 
江西,13.9,14.2,13.9,19.01,15.75,9.6 ,9.8 ,9.7 
山东,16.3,18.6,22.7,25.82,15.39,11.7 ,12.9 ,15.2 
河南,14.6,15.9,16.3,22,14.57,10.1 ,10.8 ,11.1 
湖北,15.9,17,17.3,22.74,15.65,11.6 ,12.2 ,12.5 
湖南,17,17.5,18.4,25,15.53,11.9 ,12.2 ,12.5 
广东,10.2,10.3,11,19.95,9.14,7.7 ,7.7 ,8.3 
广西,14.1,14.3,14.7,23.73,13.78,9.7 ,9.7 ,10.0 
海南,11.5,11.4,11.3,19.57,11.58,8.2 ,8.2 ,8.2 
重庆,19.8,20.6,21.1,36.75,17.54,14.0 ,14.3 ,14.5 
四川,19.5,19.8,21.8,28.95,18.03,13.7 ,13.9 ,15.0 
贵州,14.1,14.5,17.1,24,15.02,9.6 ,9.9 ,11.3 
云南,11.6,11.6,13.2,17.21,14.63,8.4 ,8.4 ,9.6 
西藏,7,8.2,8,12.87,6.91,5.0 ,5.8 ,5.7 
陕西,14.4,15.1,15,20.08,15.83,10.7 ,11.1 ,11.2 
甘肃,13.6,14.3,15.9,19.88,15.59,10.0 ,10.3 ,11.3 
青海,9.9,11,10.4,13.91,15,7.2 ,7.9 ,7.6 
宁夏,10.7,11.6,12.7,15.07,13.56,7.8 ,8.5 ,9.0 
新疆,10.3,10.4,10.2,13.14,14.74,7.2 ,7.3 ,7.2 
