地区,count,region
国营,78.14,养老院行业按企业性质占比统计（%）
民营,19.17,养老院行业按企业性质占比统计（%）
社会团体,0.19,养老院行业按企业性质占比统计（%）
公办民营,0.88,养老院行业按企业性质占比统计（%）
公办民助,0.8,养老院行业按企业性质占比统计（%）
其他,0.82,养老院行业按企业性质占比统计（%）
养老行业,159,养老PPP项目的投资领域分布（个）
医养结合,68,养老PPP项目的投资领域分布（个）
老年公寓,52,养老PPP项目的投资领域分布（个）
其他,4,养老PPP项目的投资领域分布（个）
山东,14.65,养老PPP项目数量比重（%）
贵州,13.69,养老PPP项目数量比重（%）
河南,8.92,养老PPP项目数量比重（%）
新疆,7.32,养老PPP项目数量比重（%）
四川,6.69,养老PPP项目数量比重（%）
内蒙古,6.05,养老PPP项目数量比重（%）
江苏,5.41,养老PPP项目数量比重（%）
云南,5.41,养老PPP项目数量比重（%）
江西,4.46,养老PPP项目数量比重（%）
其他,27.39,养老PPP项目数量比重（%）
山东,30.65,养老PPP项目金额比重（%）
贵州,11.37,养老PPP项目金额比重（%）
河南,10.4,养老PPP项目金额比重（%）
新疆,3,养老PPP项目金额比重（%）
四川,3.76,养老PPP项目金额比重（%）
内蒙古,3.12,养老PPP项目金额比重（%）
江苏,8.4,养老PPP项目金额比重（%）
云南,6.34,养老PPP项目金额比重（%）
其他,18.03,养老PPP项目金额比重（%）
使用者付费,79.38,养老PPP项目回报机制（%）
可行性缺口补助,17.65,养老PPP项目回报机制（%）
政府付费项目,2.97,养老PPP项目回报机制（%）
